καί,"and, even, also, namely"
οἰκοδομῶ,"I build, build up, edify"
ἔπνευσαν,I blow
συνεζωοποίησε(ν),I make alive together with
ἐπαισχύνεται,I am ashamed
θαυμαστή,"wonderful, marvelous"
πεποίθησιν,"confidence, trust"
εὕρηκα,I find
ὀγδόῃ,eighth
διαπεράσαντες,I cross over
σεμνούς,honorable
συνανέκειντο,I recline at table with
ἐδίδασκον,I teach
ἐνδύσηται,"I put on, clothe"
ἀναγγεῖλαι,"I announce, make known, report"
ἐμίσησε(ν),"I hate, detest"
γενεαῖς,a generation
στοᾷ,"a colonnade, portico"
Δορκάς,Dorcas
διακονηθῆναι,"I wait at table, serve"
ἐσχάτῳ,"last, at the last, finally"
καταποθῇ,"I swallow, devour, destroy"
φωνῶν,"a sound, noise, voice"
ἁμαρτημάτων,"a fault, sin, evil deed"
μεγαλειότητος,majesty
αἰτῶν,"I ask, request, beg, petition"
λατρείας,"service, worship"
δείκνυσι(ν),"I point out, show"
ἐπιστεύετε,"I believe, have faith in"
ὑπερλίαν,exceedingly
λογισθῆναι,"I reckon, count, decide"
ποταμῶν,"a river, torrent"
ἀδίκημα,"a crime, misdeed"
φυλάσσεσθαι,"I keep, guard, observe"
φορτία,"a burden, freight"
νήφωμεν,"I am calm, vigilant, sober"
τεχνίτης,"a craftsman, artisan"
κῆπος,a garden
ἀποστολῆς,"commission, duty of apostle, apostleship"
καταπετάσματος,"a veil, curtain"
μορφῇ,"form, shape, outward appearance"
Θεσσαλονίκην,Thessalonica
τιμῶσι(ν),"I value at a price, honor"
ἄσπασαι,"I greet, salute, pay my respects to"
ἐμερίσθη,"I divide, part, share"
πέσετε,"I fall, fall under"
δόγμασι(ν),"a decree, edict, ordinance"
Γεθσημανί,Gethsemane
τράπεζα,a table for food or business
πυρρός,"red, fire-colored"
συνανακειμένων,I recline at table with
εὐχαριστῶν,"I thank, give thanks"
πορνεῦσαι,"I fornicate, practice idolatry"
γέγοναν,"I come into being, am born"
κλάδοις,a branch
πλανηθῇ,"I lead astray, deceive"
γαμίζων,"I give in marriage, marry"
φραγελλώσας,"I flagellate, scourge"
λύτρον,"a ransom, an offering of expiation"
γεγραμμένοις,I write
βέβληται,"I cast, throw, rush, put, place, drop"
βάλλοντες,"I cast, throw, rush, put, place, drop"
ἐπίστανται,"I know, understand"
διηπόρουν,"I am in trouble, doubt, difficulty"
παιδίσκην,"a female slave, maidservant, maid."
ἐκδίκησις,"a defense, vengeance, full punishment"
ἐκχεῶ,"I pour out, shed"
οἰκονομίας,stewardship
φιλαδελφίᾳ,brotherly love
πατάξω,I strike
εἰσπορευόμενος,"I journey into, go into"
προσευχήν,"prayer, a place for prayer"
ἀφεδρῶνα,"a drain, latrine"
γεγραμμένων,I write
ἔγνωκα,"I come to know, learn, realize"
ἀσπάσησθε,"I greet, salute, pay my respects to"
ἅς,"who, which, what, that"
μικρά,"little, small"
διεπρίοντο,I cut to the quick
λαβοῦσαι,"I receive, take"
Θεόφιλε,Theophilus
νουθεσίαν,"a warning, admonition"
ψευδομαρτυρήσῃς,I testify falsely
ποικίλοις,"various, of different colors"
κατακεῖσθαι,"I recline, am lying ill"
πλατεῖα,a street
πορευομένου,"I travel, journey, go"
ὑποστρέψασαι,"I turn back, return"
ἐσθίῃ,I eat
ἐνέκοψε(ν),"I interrupt, hinder"
ἐτέλεσαν,"I end, accomplish, pay"
νουθετοῦντες,"I admonish, warn, counsel"
φωλεούς,"a burrow, hole"
σπαρῇ,"I sow, spread, scatter"
προσφέρῃ,"I bring to, offer"
ἐβεβαιώθη,"I confirm, ratify"
συζήσομεν,I live together with
καρδίαι,"the heart, inner life, intention"
ἐπιθυμήσεις,"I long for, covet, lust after"
λιθοβολοῦσα,"I stone, cast stones at"
ἁμαρτωλοῖς,"sinning, sinful, a sinner"
νήψατε,"I am calm, vigilant, sober"
λύκων,"a wolf, jackal"
κρούοντι,I knock
παρελθών,I pass by
εὐδόκησαν,"I am resolved, well-pleased"
Ἆσσον,Assos
ποιείτω,"I do, make"
ἐγεῖραι,"I wake, arouse, raise up"
ἐραυνῶν,"I search, look into"
ἐπενδύσασθαι,I put on over
ἑβδόμην,seventh
ἀναφέρει,"I carry up, lead up, offer up"
ἐξεθαμβήθησαν,I am greatly astonished
περιπατῆσαι,"I walk, conduct my life"
ἀπίστου,"unbelieving, incredulous, unchristian, unbeliever"
ἔμειναν,"I remain, abide"
χηρῶν,a widow
διδάξῃ,I teach
γενεσίοις,a birthday celebration
ἐτελέσθη,"I end, accomplish, pay"
δικαστήν,a judge
καταργεῖται,"I bring to naught, sever, abolish"
βασάνοις,"torture, torment"
ἐξέλθῃς,"I go out, come out"
ὑποτάξαι,"I place under, subject to"
ἐγέννησα,"I beget, bring forth, give birth to"
φειδομένως,sparingly
ἀπεκεφάλισε(ν),I behead
ποίμνιον,a little flock
κλαίεις,"I weep, weep for, mourn"
ἐπετίμησαν,"I rebuke, chide, admonish, warn"
διακοσίας,two hundred
ἐκαθάρισε(ν),I make clean
προλέγω,I forewarn
ὑπαντῆσαι,I meet
ἀδημονεῖν,"I am troubled, distressed"
τόκῳ,"interest, usury"
ἀφθάρτου,"imperishable, incorruptible"
μιμεῖσθαι,I imitate
παρελεύσεται,I pass by
διήνοιξε(ν),I open fully
διεμερίσαντο,"I divide up into parts, break up, distribute"
πινέτω,"I drink, imbibe"
πύλῃ,"a door, gate"
παράκειται,"I am present with, rest with"
ἀσθενοῦς,"weak, infirm, sick"
κρυβῆναι,"I hide, conceal, lay up"
εὐχόμεθα,"I pray, wish"
δόξαντες,"I think, seem, appear, it seems"
ἐπιθέντος,"I put, place upon, lay on"
κρέα,"flesh, kinds of flesh"
ἀδικίαν,unrighteousness
ἐβάστασας,"I carry, carry away, bear"
παρασκευήν,the day before the Sabbath
τετήρηκα,"I keep, guard, observe"
ὀφειλόμενον,"I owe, ought"
τίτλον,"a title, inscription"
πλατείαις,broad
ἐκρατήσατε,"I lay hold of, obtain"
νηστεύοντες,I fast
χεῖρες,a hand
λαμβάνομεν,"I receive, take"
κερδῆσαι,"I gain, win, avoid loss"
κρίματος,"a judgment, verdict, lawsuit"
συνέζευξε(ν),I unite
ἔξοδον,"an exit, departure, death"
ἀνακειμένου,"I recline, especially at a dinner-table"
ἐκοιμήθη,"I fall asleep, am asleep"
πεπιστεύκαμεν,"I believe, have faith in"
λατρεύσουσι(ν),"I serve, worship"
πάρεχε,"I offer, provide"
ὕψους,"height, heaven"
πέδαις,a shackle
μερίδα,"a part, portion"
ὑπηρέτῃ,"a servant, an attendant"
μαίνῃ,I am raving mad
χρεία,"need, necessity, business"
ἀπολύων,"I release, let go, send away, divorce"
ἡσυχίᾳ,"quietness, silence"
ψευδεῖς,"false, deceitful, lying"
ῥαφίδος,a needle
προσφέρονται,"I bring to, offer"
πιάσας,I lay hold of
ἀρραβῶνα,"an earnest, earnest-money"
νομίμως,lawfully
ἐλεημοσύνας,"alms-giving, charity"
κολυμβήθραν,"a pool, swimming-place"
περιπατεῖς,"I walk, conduct my life"
ἐπικατάρατος,accursed
κλαῖε,"I weep, weep for, mourn"
θαρσεῖτε,"I am courageous, of good cheer"
ἀγαθάς,good
ἱκανάς,"sufficient, worthy, many, much"
ἐπάθετε,"I am acted upon, suffer"
ἐξέτεινε(ν),"I stretch out, cast forth"
εὐαγγελίζωμαι,"I bring good news, preach good tidings"
ἀπείθειαν,"willful unbelief, obstinacy, disobedience"
γενηθέντες,"I come into being, am born"
Γαβριήλ,Gabriel
μιανθῶσι(ν),"I stain, pollute, defile"
συνέσεως,understanding
τετρακόσια,four hundred
Ῥωμαίοις,"Roman, a Roman citizen"
δέον,I bind
κατακαύσει,"I burn up, consume entirely"
μάχαιρα,a sword
πιστεύσῃς,"I believe, have faith in"
ἀπέπλευσαν,I sail away
ὁρῶ,"I see, look upon, experience"
ἀόρατα,"unseen, invisible"
μάταιοι,"vain, unproductive, godless"
σωθησόμεθα,"I save, heal"
ἐγκατέλιπε(ν),"I abandon, desert"
ἐξορύξαντες,"I dig out, gouge"
δικαιωθῆναι,"I make righteous, defend the cause of, justify"
σχῶμεν,"I have, hold, possess"
ἐπελάβετο,"I seize, take hold of"
ὀνομάτων,"name, character, reputation"
λευκή,"white, bright"
νοοῦμεν,"I understand, consider"
καταφρονήσει,"I despise, scorn"
ἐντελεῖται,"I give orders, command"
στεῖρα,barren
ἀπέσταλκα,"I send forth, send, send away, dismiss"
καυχήσασθαι,"I boast, glory"
Ναζαρηνοῦ,of Nazareth
ἐξέφυγον,"I flee out, away, I escape"
Τιμοθέῳ,Timothy
ἀποκρίθητε,"I answer, reply"
θέλοντι,"I will, wish, desire"
ἀκολουθήσατε,"I accompany, attend, follow"
εἴων,"I allow, permit, leave"
ὀργυιάς,"a fathom, about five or six feet"
σκανδάλου,"a snare, stumbling-block"
ἀσέβειαν,"impiety, irreverence, wickedness"
ἀνταπόδομα,"a gift in return, a return, a recompense"
ἐκέλευσα,"I command, order"
φυλάξαι,"I keep, guard, observe"
παραδόσεις,"an instruction, tradition"
ἄρχειν,"I reign, rule"
κατέλαβε(ν),"I seize tight hold of, overtake, comprehend"
ἐπιτιμῶν,"I rebuke, chide, admonish, warn"
στρατιώτῃ,a soldier
ἐκήρυξε(ν),"I proclaim, herald, preach"
Ἀβιούδ,Abiud
περιβεβλημένος,"I cast around, clothe"
διαθήσομαι,"I appoint, make"
ἐνεργοῦσι(ν),"I work, accomplish, am operative"
συμπόσια,"a drinking party, festive company"
Σαβαώθ,"hosts, armies"
Ταρσόν,Tarsus
δίκαια,"just, righteous, impartial"
συνευωχούμενοι,I feast sumptuously with
μόρφωσιν,"form, outline"
ἐπικαλεσαμένου,"I call by an additional name, appeal to"
εὐτόνως,"vehemently, powerfully"
κλεῖσαι,"I shut, shut up"
τηρῶμεν,"I keep, guard, observe"
γονυπετῶν,"I fall on my knees before, supplicate, entreat"
ἐτόλμησε(ν),"I dare, endure, am bold"
τετάρτην,fourth
εἰδυῖα,"I know, remember"
γνώσομαι,"I come to know, learn, realize"
παρεκλήθημεν,"I summon, entreat, admonish, comfort"
ἐμβῆναι,I embark
πιπτόντων,"I fall, fall under"
ἀρχαίοις,"original, primitive, ancient"
θεωροῦσαι,"I behold, look at, experience"
κατῆλθε(ν),I come down
λυπεῖσθαι,"I pain, grieve, vex"
ἵπποις,a horse
διακονουμένῃ,"I wait at table, serve"
ἀποδιδόντες,"I give back, return, sell"
Καϊνάμ,Cainan
ἐπιστάντες,"I stand by, am urgent, befall one, impend"
ἐλευθερία,"freedom, liberty"
διδακτοῖς,"taught, instructed"
δικαίωσιν,"acquittal, justification"
χαρῆναι,"I rejoice, am glad"
ἤρχοντο,"I reign, rule"
σπλάγχνοις,"bowels, compassion, pity"
ἐπεθύμησα,"I long for, covet, lust after"
προσκυνήσῃς,I worship
πορευθῶ,"I travel, journey, go"
ἔθεσι(ν),a custom
ἀρχαῖος,"original, primitive, ancient"
Ἰταλίας,Italy
ἀνακάμψαι,I return
ἐλαίου,olive oil
βεβαία,"firm, steadfast, enduring"
ἐπιγείων,earthly
γένωμαι,"I come into being, am born"
ἀπέλθω,"I come or go away from, depart, return"
ἠθέλησας,"I will, wish, desire"
ταμεῖον,a secret chamber
ἀποκτενεῖ,"I put to death, kill"
Ἑλληνιστί,in the Greek language
ἱερέα,a priest
ἀναδεξάμενος,"I welcome, receive kindly, undertake"
Ἀνδρέου,Andrew
βαρέως,"heavily, with difficulty"
βίας,"force, violence"
βαλλόμενον,"I cast, throw, rush, put, place, drop"
βουλομένου,"I will, intend, desire"
παρέστηκε(ν),"I bring, present, come up to and stand by"
ἐγγίσας,"I come near, approach"
ἠρνήσασθε,"I deny, repudiate"
χορτάσαι,"I feed, satisfy"
γέμει,I am full of
ἀποκτείνας,"I put to death, kill"
Φιλίπποις,Philippi
ὑποκρίσει,"hypocrisy, dissembling"
ἐκλεκτός,"chosen, elect, choice, select"
ἐξεμυκτήριζον,"I deride, scoff at, mock greatly"
δίδου,"I offer, give"
πίεσθε,"I drink, imbibe"
ἀπολογίᾳ,a verbal defense
ἀγάγῃ,I lead
παίσας,"I strike, smite"
θεμελίους,belonging to the foundation
πυρετῷ,a fever
χοῦν,dust
ἔκλαιον,"I weep, weep for, mourn"
σπόρος,seed for sowing
μισήσει,"I hate, detest"
ἔρριψαν,"I throw, cast, toss"
μισῶ,"I hate, detest"
καλῇ,"beautiful, good, worthy"
ἐμῆς,mine
κληθῆτε,"I call, invite, name"
ἐχθρόν,"hated, hostile, an enemy"
ἐκόπτοντο,"I cut off, mourn"
πλεονάσῃ,"I abound, increase"
ἀφθάρτῳ,"imperishable, incorruptible"
θησαυρός,"a treasure, store"
παραζηλώσω,I make jealous
γινώμεθα,"I come into being, am born"
παλαιός,"old, ancient, worn out"
πίστευσον,"I believe, have faith in"
μείνητε,"I remain, abide"
πείσαντες,"I persuade, urge"
σχίσματα,"a rent, division"
ἀκροαταί,"a hearer of, a listener to"
κόλασιν,"chastisement, punishment"
χρυσός,anything made of gold
ὑαλίνην,"glassy, transparent"
Ἰωσαφάτ,Jehoshaphat
μερισθῇ,"I divide, part, share"
λαλήσῃ,"I speak, say"
Ὑμέναιος,Hymenaeus
ἐπιτρέπεται,"I allow, permit"
δράκοντος,a dragon or huge serpent
φρόνιμος,"intelligent, prudent"
ὑποστάσεως,"assurance, substance, reality"
